INFO:backend.api.v1.tts:已加载0条TTS历史记录
INFO:     Started server process [91451]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
INFO:     127.0.0.1:51202 - "GET / HTTP/1.1" 200 OK
INFO:     127.0.0.1:59652 - "GET /api/v1/tts/history HTTP/1.1" 200 OK
INFO:     127.0.0.1:59652 - "GET /api/v1/tts/history HTTP/1.1" 200 OK
INFO:     127.0.0.1:59652 - "GET /api/v1/tts/history HTTP/1.1" 200 OK
INFO:     127.0.0.1:59982 - "GET /api/v1/tts/history HTTP/1.1" 200 OK
INFO:     127.0.0.1:59982 - "GET /api/v1/tts/history HTTP/1.1" 200 OK
INFO:     127.0.0.1:59982 - "GET /api/v1/tts/history HTTP/1.1" 200 OK
INFO:     127.0.0.1:59242 - "GET /api/v1/tts/history HTTP/1.1" 200 OK
INFO:     127.0.0.1:49034 - "GET /api/v1/tts/history HTTP/1.1" 200 OK
INFO:backend.api.v1.tts:当前系统状态: CPU使用率=13.7%, 内存使用率=60.2%, 活动TTS任务=0
INFO:     127.0.0.1:54116 - "POST /api/v1/tts/generate HTTP/1.1" 200 OK
INFO:backend.api.v1.tts:已保存1条TTS历史记录
INFO:backend.api.v1.tts:开始处理TTS任务: 4f8a0bc0-4872-4370-8530-f89d177cafea, 文本长度: 5字符
INFO:backend.api.v1.tts:执行命令: python /home/hoey/桌面/PARROT-master/MegaTTS3/tts/infer_cli.py --input_wav /home/hoey/桌面/PARROT-master/MegaTTS3/assets/Chinese_prompt.wav --input_text 测试123 --output_dir /home/hoey/桌面/PARROT-master/storage/outputs --p_w 2.0 --t_w 3.0
INFO:backend.api.v1.tts:当前工作目录: /home/hoey/桌面/PARROT-master/MegaTTS3
INFO:backend.api.v1.tts:环境变量PYTHONPATH: /home/hoey/桌面/PARROT-master/MegaTTS3:
INFO:backend.api.v1.tts:开始执行MegaTTS3命令: python /home/hoey/桌面/PARROT-master/MegaTTS3/tts/infer_cli.py --input_wav /home/hoey/桌面/PARROT-master/MegaTTS3/assets/Chinese_prompt.wav --input_text 测试123 --output_dir /home/hoey/桌面/PARROT-master/storage/outputs --p_w 2.0 --t_w 3.0
INFO:backend.api.v1.tts:任务状态请求: 4f8a0bc0-4872-4370-8530-f89d177cafea, 状态: processing, 已耗时: 2.00秒
INFO:     127.0.0.1:54116 - "GET /api/v1/tts/status/4f8a0bc0-4872-4370-8530-f89d177cafea HTTP/1.1" 200 OK
INFO:backend.api.v1.tts:任务状态请求: 4f8a0bc0-4872-4370-8530-f89d177cafea, 状态: processing, 已耗时: 4.01秒
INFO:     127.0.0.1:54116 - "GET /api/v1/tts/status/4f8a0bc0-4872-4370-8530-f89d177cafea HTTP/1.1" 200 OK
INFO:backend.api.v1.tts:任务状态请求: 4f8a0bc0-4872-4370-8530-f89d177cafea, 状态: processing, 已耗时: 6.01秒
INFO:     127.0.0.1:54116 - "GET /api/v1/tts/status/4f8a0bc0-4872-4370-8530-f89d177cafea HTTP/1.1" 200 OK
INFO:backend.api.v1.tts:任务状态请求: 4f8a0bc0-4872-4370-8530-f89d177cafea, 状态: processing, 已耗时: 8.02秒
INFO:     127.0.0.1:54116 - "GET /api/v1/tts/status/4f8a0bc0-4872-4370-8530-f89d177cafea HTTP/1.1" 200 OK
INFO:backend.api.v1.tts:任务状态请求: 4f8a0bc0-4872-4370-8530-f89d177cafea, 状态: processing, 已耗时: 10.02秒
INFO:     127.0.0.1:54116 - "GET /api/v1/tts/status/4f8a0bc0-4872-4370-8530-f89d177cafea HTTP/1.1" 200 OK
INFO:backend.api.v1.tts:任务状态请求: 4f8a0bc0-4872-4370-8530-f89d177cafea, 状态: processing, 已耗时: 12.03秒
INFO:     127.0.0.1:54116 - "GET /api/v1/tts/status/4f8a0bc0-4872-4370-8530-f89d177cafea HTTP/1.1" 200 OK
INFO:backend.api.v1.tts:任务状态请求: 4f8a0bc0-4872-4370-8530-f89d177cafea, 状态: processing, 已耗时: 14.03秒
INFO:     127.0.0.1:54116 - "GET /api/v1/tts/status/4f8a0bc0-4872-4370-8530-f89d177cafea HTTP/1.1" 200 OK
INFO:backend.api.v1.tts:任务状态请求: 4f8a0bc0-4872-4370-8530-f89d177cafea, 状态: processing, 已耗时: 16.04秒
INFO:     127.0.0.1:54116 - "GET /api/v1/tts/status/4f8a0bc0-4872-4370-8530-f89d177cafea HTTP/1.1" 200 OK
INFO:backend.api.v1.tts:任务状态请求: 4f8a0bc0-4872-4370-8530-f89d177cafea, 状态: processing, 已耗时: 18.04秒
INFO:     127.0.0.1:54116 - "GET /api/v1/tts/status/4f8a0bc0-4872-4370-8530-f89d177cafea HTTP/1.1" 200 OK
INFO:backend.api.v1.tts:任务状态请求: 4f8a0bc0-4872-4370-8530-f89d177cafea, 状态: processing, 已耗时: 20.06秒
INFO:     127.0.0.1:54116 - "GET /api/v1/tts/status/4f8a0bc0-4872-4370-8530-f89d177cafea HTTP/1.1" 200 OK
INFO:backend.api.v1.tts:任务状态请求: 4f8a0bc0-4872-4370-8530-f89d177cafea, 状态: processing, 已耗时: 22.10秒
INFO:     127.0.0.1:54116 - "GET /api/v1/tts/status/4f8a0bc0-4872-4370-8530-f89d177cafea HTTP/1.1" 200 OK
INFO:backend.api.v1.tts:任务状态请求: 4f8a0bc0-4872-4370-8530-f89d177cafea, 状态: processing, 已耗时: 24.15秒
INFO:     127.0.0.1:54116 - "GET /api/v1/tts/status/4f8a0bc0-4872-4370-8530-f89d177cafea HTTP/1.1" 200 OK
INFO:backend.api.v1.tts:任务状态请求: 4f8a0bc0-4872-4370-8530-f89d177cafea, 状态: processing, 已耗时: 26.21秒
INFO:     127.0.0.1:54116 - "GET /api/v1/tts/status/4f8a0bc0-4872-4370-8530-f89d177cafea HTTP/1.1" 200 OK
INFO:backend.api.v1.tts:任务状态请求: 4f8a0bc0-4872-4370-8530-f89d177cafea, 状态: processing, 已耗时: 28.24秒
INFO:     127.0.0.1:54116 - "GET /api/v1/tts/status/4f8a0bc0-4872-4370-8530-f89d177cafea HTTP/1.1" 200 OK
INFO:backend.api.v1.tts:任务状态请求: 4f8a0bc0-4872-4370-8530-f89d177cafea, 状态: processing, 已耗时: 30.27秒
INFO:     127.0.0.1:54116 - "GET /api/v1/tts/status/4f8a0bc0-4872-4370-8530-f89d177cafea HTTP/1.1" 200 OK
